
running 2776 tests
test add_aida_gitignore_entries_tests::deny_pattern_detection ... ok
test add_aida_gitignore_entries_tests::appends_both_when_neither_present ... ok
test add_aida_gitignore_entries_tests::appends_deny_block_when_only_legacy_per_file_entries ... ok
test add_aida_gitignore_entries_tests::appends_settings_local_when_missing ... ok
test add_aida_gitignore_entries_tests::creates_gitignore_with_both_blocks ... ok
test add_aida_gitignore_entries_tests::idempotent_when_both_blocks_present ... ok
test advisor::tests::calibration_mode_parse_accepts_known_values ... ok
test advisor::tests::config_defaults_when_no_section ... ok
test advisor::tests::config_reads_all_advisor_keys ... ok
test advisor::tests::config_ignores_other_sections ... ok
test advisor::tests::config_reads_calibration_mode_on ... ok
test advisor::tests::config_loads_from_disk ... ok
test advisor::tests::estimated_cost_scales_with_size ... ok
test advisor::tests::never_mode_short_circuits_discovery ... ok
test advisor::tests::fork_mode_parse_accepts_known_values ... ok
test advisor::tests::discovery_falls_through_when_registered_jsonl_missing ... ok
test advisor::tests::discovery_returns_none_when_unregistered ... ok
test advisor_watch::tests::away_forks_on_the_first_tick ... ok
test advisor_watch::tests::away_forks_once_the_cadence_has_elapsed ... ok
test advisor_watch::tests::away_skips_before_the_cadence_with_no_mail ... ok
test advisor_watch::tests::home_exits_the_loop_even_before_first_fork ... ok
test advisor_watch::tests::home_wins_over_unread_mail ... ok
test advisor_watch::tests::unread_mail_forks_immediately_even_before_the_cadence ... ok
test advisor::tests::discovery_picks_registered_session_when_alive ... ok
test agent_launcher_tests::agent_initial_prompt_args_map_by_agent_and_respect_opt_out ... ok
test advisor::tests::discovery_treats_stale_jsonl_as_dead ... ok
test advisor::tests::plan_fork_destination_uses_spec_worktree_slug_not_source_slug ... ok
test advisor::tests::registration_roundtrip ... ok
test agent_launcher_tests::agent_default_flags_merge_user_base_project_override_and_extra ... ok
test agent_launcher_tests::agent_register_validation_accepts_locked_taxonomy ... ok
test agent_launcher_tests::agent_posture_prompt_is_idempotent_and_tty_gated ... ok
test agent_launcher_tests::agent_role_infos_cover_canonical_set_without_fabrications ... ok
test advisor::tests::plan_fork_respects_size_ceiling ... ok
test agent_launcher_tests::agent_posture_writer_round_trips_both_postures ... ok
test agent_launcher_tests::agent_type_picker_choices_cover_all_launchers ... ok
test agent_launcher_tests::apply_agent_default_flags_explicit_skips_knob ... ok
test agent_launcher_tests::agents_bypass_knob_user_base_and_project_override ... ok
test agent_launcher_tests::agents_contained_knob_user_base_and_project_override ... ok
test agent_launcher_tests::apply_agent_default_flags_contained_injects_when_native ... ok
test agent_launcher_tests::apply_agent_default_flags_knob_injects_when_native ... ok
test agent_launcher_tests::apply_agent_default_flags_no_default_flags_is_native ... ok
test agent_launcher_tests::dry_launch_plan_creates_no_lease_or_worktree ... ok
test agent_launcher_tests::apply_agent_default_flags_rejects_bypass_and_contained ... ok
test agent_launcher_tests::find_aida_project_root_walks_up_from_descendant ... ok
test agent_launcher_tests::apply_agent_default_flags_per_tool_flags_override_knob ... ok
test agent_launcher_tests::contained_enable_alias_in_config_toml ... ok
test agent_launcher_tests::agent_launch_context_without_spec_preserves_open_ended_hint ... ok
test agent_launcher_tests::agent_launch_context_always_includes_mailbox_guidance_when_caught_up ... ok
test agent_launcher_tests::parses_agent_new_context_flags ... ok
test agent_launcher_tests::parses_agent_register_flags ... ok
test agent_launcher_tests::parses_agent_new_antigravity_flags ... ok
test agent_launcher_tests::parses_agent_new_codex_flags ... ok
test agent_launcher_tests::parses_proc_status_uid ... ok
test agent_launcher_tests::renders_agent_launch_context_with_role_guidance_and_briefs ... ok
test agent_launcher_tests::parses_agent_new_claude_flags ... ok
test agent_launcher_tests::parses_agent_list_roles_flags ... ok
test agent_launcher_tests::spawned_agent_registry_entry_is_pid_keyed_and_removable ... ok
test agent_launcher_tests::tool_bypass_flags_per_agent ... ok
test agent_launcher_tests::parses_bare_agent_new_as_optional_subcommand ... ok
test agent_launcher_tests::picked_type_matches_explicit_subcommand_defaults ... ok
test agent_registry::tests::classify_status_clamps_negative_elapsed ... ok
test agent_registry::tests::classify_status_dead_pid_is_stale ... ok
test agent_registry::tests::classify_status_fresh_activity_is_busy ... ok
test agent_registry::tests::classify_status_ignores_empty_lease_worktree ... ok
test agent_registry::tests::classify_status_live_lease_covers_ancestor ... ok
test agent_registry::tests::classify_status_live_lease_is_busy_despite_stale_activity ... ok
test agent_registry::tests::classify_status_stale_activity_is_idle ... ok
test agent_registry::tests::config_ignores_unknown_keys ... ok
test agent_registry::tests::config_load_defaults_when_section_missing ... ok
test agent_registry::tests::config_load_reads_from_disk ... ok
test agent_registry::tests::config_parses_busy_threshold_secs ... ok
test agent_registry::tests::format_agent_status_lines_appends_freshness_hint ... ok
test agent_registry::tests::format_status_line_appends_pause_glyph ... ok
test agent_registry::tests::humanize_elapsed_thresholds ... ok
test agent_registry::tests::legacy_record_without_availability_reads_as_available ... ok
test agent_launcher_tests::tracked_fake_antigravity_receives_env_args_and_registry_is_removed ... ok
test agent_launcher_tests::tracked_fake_agent_receives_env_and_registry_is_removed ... ok
test agent_launcher_tests::tool_contained_flags_for_claude_include_strict_settings ... ok
test agent_registry::tests::looks_like_spec_id_accepts_canonical_ids_only ... ok
test agent_launcher_tests::tracked_fake_agent_receives_context_file_env_and_cleans_file ... ok
test agent_registry::tests::pause_reason_parse_accepts_known_reasons ... ok
test agent_registry::tests::pause_detail_formats_expected_back ... ok
test agent_registry::tests::manual_registered_entry_with_dead_pid_is_stale ... ok
test agent_registry::tests::pause_unknown_target_errors ... ok
test agent_registry::tests::list_agent_views_reads_toml_and_computes_stale_status ... ok
test agent_registry::tests::registry_path_lives_under_aida_agents ... ok
test agent_launcher_tests::register_existing_agent_entry_is_status_visible_and_pid_keyed ... ok
test agent_registry::tests::pause_resolves_via_hash_id ... ok
test apply_tag_deltas_tests::add_inserts_new_tag_and_preserves_others ... ok
test apply_tag_deltas_tests::add_tag_preserves_existing_provenance_tags ... ok
test apply_tag_deltas_tests::add_and_remove_compose_in_one_call ... ok
test apply_tag_deltas_tests::add_then_remove_same_tag_in_one_call_is_net_zero_if_present ... ok
test apply_tag_deltas_tests::adding_present_tag_is_noop ... ok
test apply_tag_deltas_tests::empty_inputs_make_no_change ... ok
test apply_tag_deltas_tests::entries_are_trimmed ... ok
test apply_tag_deltas_tests::remove_drops_named_tag_and_preserves_others ... ok
test apply_tag_deltas_tests::remove_tag_drops_only_named_tag ... ok
test apply_tag_deltas_tests::whitespace_entries_are_ignored ... ok
test apply_tag_deltas_tests::removing_absent_tag_is_noop ... ok
test auto_branch_tests::auto_branch_appends_2_on_first_collision ... ok
test auto_branch_tests::auto_branch_slug_when_free ... ok
test auto_branch_tests::date_branch_style_uses_date_form_even_when_slug_free ... ok
test auto_branch_tests::unknown_branch_style_errors ... ok
test auto_branch_tests::auto_branch_falls_back_to_dated_form ... ok
test agent_registry::tests::three_agents_with_different_activity_patterns_classify_correctly ... ok
test agent_registry::tests::pause_then_resume_roundtrips ... ok
test agent_registry::tests::paused_warning_fires_only_for_paused_target ... ok
test auto_bump_done_tests::auto_bump_completes_approved_review_story_on_self_merge ... ok
test auto_bump_done_tests::auto_bump_completes_inprogress_review_story_on_self_merge ... ok
